en;jp
Hard;ハード
Inventory is full.;インベントリが一杯です。
__1__ cannot be used as fuel.;__1__ は、燃料として使用できません。
__1__ cannot be smelted.;__1__ は精錬することができない。
__1__ cannot be used as ammo for __2__.;__1__ は __2__ の弾薬として使うことができない。
__1__ cannot be used as ammo.;__1__ は弾薬として使うことができない。
__1__ cannot be used as a weapon.;__1__ は武器として使うことができない。
__1__ cannot shoot __2__.;__1__ は __2__ を撃つことができない。
__1__ cannot be used as armor.;__1__ をアーマーとして装備できない。
You cannot insert anything into an assembling machine when no recipe is set.;レシピが設定されていないため、組立機に素材を入れることはできません！
Only __1__ can be inserted here, not __2__.;ここには __1__ しか入れられません。 __2__ は入れることができません。
This slot is reserved for the cursor.;スロットはカーソルで予約されています。
__1__ cannot be inserted here.;__1__はここに挿入できません。
You cannot insert an item into itself.;アイテムをアイテム自身に入れることはできません。
Only __1__ can be inserted into this slot. If you want to put something else here, the filter has to be cleared.;このスロットには__1__しか入れることができません。他のアイテムを入れるには、フィルターを解除してください。
